"","date","team","opponent","goals","home.adv"
"1",2017-03-04,"Portland","Minnesota United",5,1
"2",2017-03-04,"Columbus","Chicago",1,1
"3",2017-03-04,"L.A. Galaxy","FC Dallas",1,1
"4",2017-03-04,"Salt Lake","Toronto",0,1
"5",2017-03-04,"Colorado","New England",1,1
"6",2017-03-04,"Minnesota United","Portland",1,0
"7",2017-03-04,"Chicago","Columbus",1,0
"8",2017-03-04,"FC Dallas","L.A. Galaxy",2,0
"9",2017-03-04,"Toronto","Salt Lake",0,0
"10",2017-03-04,"New England","Colorado",0,0
"11",2017-03-05,"DC United","Kansas City",0,1
"12",2017-03-05,"Houston","Seattle",2,1
"13",2017-03-05,"San Jose","Montreal",1,1
"14",2017-03-05,"Orlando City","New York City FC",1,1
"15",2017-03-05,"Kansas City","DC United",0,0
"16",2017-03-05,"Seattle","Houston",1,0
"17",2017-03-05,"Montreal","San Jose",0,0
"18",2017-03-05,"New York City FC","Orlando City",0,0
"19",2017-03-06,"Atlanta United","New York",1,1
"20",2017-03-06,"Vancouver","Philadelphia",0,1
"21",2017-03-06,"New York","Atlanta United",2,0
"22",2017-03-06,"Philadelphia","Vancouver",0,0
"23",2017-03-11,"Chicago","Salt Lake",2,1
"24",2017-03-11,"New York","Colorado",1,1
"25",2017-03-11,"Philadelphia","Toronto",2,1
"26",2017-03-11,"Salt Lake","Chicago",0,0
"27",2017-03-11,"Colorado","New York",0,0
"28",2017-03-11,"Toronto","Philadelphia",2,0
"29",2017-03-12,"Houston","Columbus",3,1
"30",2017-03-12,"Montreal","Seattle",2,1
"31",2017-03-12,"Kansas City","FC Dallas",0,1
"32",2017-03-12,"San Jose","Vancouver",3,1
"33",2017-03-12,"New York City FC","DC United",4,1
"34",2017-03-12,"Minnesota United","Atlanta United",1,1
"35",2017-03-12,"L.A. Galaxy","Portland",0,1
"36",2017-03-12,"Columbus","Houston",1,0
"37",2017-03-12,"Seattle","Montreal",2,0
"38",2017-03-12,"FC Dallas","Kansas City",0,0
"39",2017-03-12,"Vancouver","San Jose",2,0
"40",2017-03-12,"DC United","New York City FC",0,0
"41",2017-03-12,"Atlanta United","Minnesota United",6,0
"42",2017-03-12,"Portland","L.A. Galaxy",1,0
"43",2017-03-18,"New York City FC","Montreal",1,1
"44",2017-03-18,"Atlanta United","Chicago",4,1
"45",2017-03-18,"Vancouver","Toronto",0,1
"46",2017-03-18,"DC United","Columbus",0,1
"47",2017-03-18,"Orlando City","Philadelphia",2,1
"48",2017-03-18,"Montreal","New York City FC",1,0
"49",2017-03-18,"Chicago","Atlanta United",0,0
"50",2017-03-18,"Toronto","Vancouver",2,0
"51",2017-03-18,"Columbus","DC United",2,0
"52",2017-03-18,"Philadelphia","Orlando City",1,0
"53",2017-03-19,"FC Dallas","New England",2,1
"54",2017-03-19,"Kansas City","San Jose",2,1
"55",2017-03-19,"Colorado","Minnesota United",2,1
"56",2017-03-19,"Salt Lake","L.A. Galaxy",1,1
"57",2017-03-19,"Portland","Houston",4,1
"58",2017-03-19,"Seattle","New York",3,1
"59",2017-03-19,"New England","FC Dallas",1,0
"60",2017-03-19,"San Jose","Kansas City",1,0
"61",2017-03-19,"Minnesota United","Colorado",2,0
"62",2017-03-19,"L.A. Galaxy","Salt Lake",2,0
"63",2017-03-19,"Houston","Portland",2,0
"64",2017-03-19,"New York","Seattle",1,0
"65",2017-03-25,"New England","Minnesota United",5,1
"66",2017-03-25,"New York","Salt Lake",0,1
"67",2017-03-25,"Columbus","Portland",3,1
"68",2017-03-25,"Minnesota United","New England",2,0
"69",2017-03-25,"Salt Lake","New York",0,0
"70",2017-03-25,"Portland","Columbus",2,0
"71",2017-04-01,"Toronto","Kansas City",0,1
"72",2017-04-01,"Seattle","Atlanta United",0,1
"73",2017-04-01,"New York City FC","San Jose",2,1
"74",2017-04-01,"Chicago","Montreal",2,1
"75",2017-04-01,"Columbus","Orlando City",2,1
"76",2017-04-01,"Kansas City","Toronto",0,0
"77",2017-04-01,"Atlanta United","Seattle",0,0
"78",2017-04-01,"San Jose","New York City FC",1,0
"79",2017-04-01,"Montreal","Chicago",2,0
"80",2017-04-01,"Orlando City","Columbus",0,0
"81",2017-04-02,"DC United","Philadelphia",2,1
"82",2017-04-02,"Minnesota United","Salt Lake",4,1
"83",2017-04-02,"Houston","New York",4,1
"84",2017-04-02,"Vancouver","L.A. Galaxy",4,1
"85",2017-04-02,"Philadelphia","DC United",1,0
"86",2017-04-02,"Salt Lake","Minnesota United",2,0
"87",2017-04-02,"New York","Houston",1,0
"88",2017-04-02,"L.A. Galaxy","Vancouver",2,0
"89",2017-04-03,"Portland","New England",1,1
"90",2017-04-03,"New England","Portland",1,0
"91",2017-04-08,"L.A. Galaxy","Montreal",2,1
"92",2017-04-08,"New England","Houston",2,1
"93",2017-04-08,"Chicago","Columbus",1,1
"94",2017-04-08,"DC United","New York City FC",2,1
"95",2017-04-08,"Montreal","L.A. Galaxy",0,0
"96",2017-04-08,"Houston","New England",0,0
"97",2017-04-08,"Columbus","Chicago",0,0
"98",2017-04-08,"New York City FC","DC United",1,0
"99",2017-04-09,"Philadelphia","Portland",1,1
"100",2017-04-09,"Toronto","Atlanta United",2,1
"101",2017-04-09,"FC Dallas","Minnesota United",2,1
"102",2017-04-09,"Salt Lake","Vancouver",3,1
"103",2017-04-09,"San Jose","Seattle",1,1
"104",2017-04-09,"Orlando City","New York",1,1
"105",2017-04-09,"Portland","Philadelphia",3,0
"106",2017-04-09,"Atlanta United","Toronto",2,0
"107",2017-04-09,"Minnesota United","FC Dallas",0,0
"108",2017-04-09,"Vancouver","Salt Lake",0,0
"109",2017-04-09,"Seattle","San Jose",1,0
"110",2017-04-09,"New York","Orlando City",0,0
"111",2017-04-10,"Kansas City","Colorado",3,1
"112",2017-04-10,"Colorado","Kansas City",1,0
"113",2017-04-15,"Philadelphia","New York City FC",0,1
"114",2017-04-15,"Vancouver","Seattle",2,1
"115",2017-04-15,"San Jose","FC Dallas",1,1
"116",2017-04-15,"Montreal","Atlanta United",2,1
"117",2017-04-15,"Orlando City","L.A. Galaxy",2,1
"118",2017-04-15,"Chicago","New England",3,1
"119",2017-04-15,"New York City FC","Philadelphia",2,0
"120",2017-04-15,"Seattle","Vancouver",1,0
"121",2017-04-15,"FC Dallas","San Jose",1,0
"122",2017-04-15,"Atlanta United","Montreal",1,0
"123",2017-04-15,"L.A. Galaxy","Orlando City",1,0
"124",2017-04-15,"New England","Chicago",0,0
"125",2017-04-16,"New York","DC United",2,1
"126",2017-04-16,"Columbus","Toronto",2,1
"127",2017-04-16,"Houston","Minnesota United",2,1
"128",2017-04-16,"Colorado","Salt Lake",1,1
"129",2017-04-16,"Portland","Kansas City",0,1
"130",2017-04-16,"DC United","New York",0,0
"131",2017-04-16,"Toronto","Columbus",1,0
"132",2017-04-16,"Minnesota United","Houston",2,0
"133",2017-04-16,"Salt Lake","Colorado",2,0
"134",2017-04-16,"Kansas City","Portland",1,0
"135",2017-04-20,"New England","San Jose",0,1
"136",2017-04-20,"San Jose","New England",0,0
"137",2017-04-22,"Toronto","Chicago",3,1
"138",2017-04-22,"Philadelphia","Montreal",3,1
"139",2017-04-22,"Houston","San Jose",2,1
"140",2017-04-22,"Portland","Vancouver",2,1
"141",2017-04-22,"Chicago","Toronto",1,0
"142",2017-04-22,"Montreal","Philadelphia",3,0
"143",2017-04-22,"San Jose","Houston",0,0
"144",2017-04-22,"Vancouver","Portland",1,0
"145",2017-04-23,"New England","DC United",2,1
"146",2017-04-23,"New York","Columbus",2,1
"147",2017-04-23,"FC Dallas","Kansas City",1,1
"148",2017-04-23,"Salt Lake","Atlanta United",1,1
"149",2017-04-23,"New York City FC","Orlando City",1,1
"150",2017-04-23,"L.A. Galaxy","Seattle",0,1
"151",2017-04-23,"Minnesota United","Colorado",1,1
"152",2017-04-23,"DC United","New England",2,0
"153",2017-04-23,"Columbus","New York",0,0
"154",2017-04-23,"Kansas City","FC Dallas",0,0
"155",2017-04-23,"Atlanta United","Salt Lake",3,0
"156",2017-04-23,"Orlando City","New York City FC",2,0
"157",2017-04-23,"Seattle","L.A. Galaxy",3,0
"158",2017-04-23,"Colorado","Minnesota United",0,0
"159",2017-04-29,"Toronto","Houston",2,1
"160",2017-04-29,"Montreal","Vancouver",1,1
"161",2017-04-29,"Orlando City","Colorado",2,1
"162",2017-04-29,"Houston","Toronto",0,0
"163",2017-04-29,"Vancouver","Montreal",2,0
"164",2017-04-29,"Colorado","Orlando City",0,0
"165",2017-04-30,"New York","Chicago",2,1
"166",2017-04-30,"Columbus","New York City FC",2,1
"167",2017-04-30,"Minnesota United","San Jose",0,1
"168",2017-04-30,"FC Dallas","Portland",2,1
"169",2017-04-30,"Kansas City","Salt Lake",3,1
"170",2017-04-30,"Seattle","New England",3,1
"171",2017-04-30,"L.A. Galaxy","Philadelphia",0,1
"172",2017-04-30,"Atlanta United","DC United",1,1
"173",2017-04-30,"Chicago","New York",1,0
"174",2017-04-30,"New York City FC","Columbus",3,0
"175",2017-04-30,"San Jose","Minnesota United",1,0
"176",2017-04-30,"Portland","FC Dallas",2,0
"177",2017-04-30,"Salt Lake","Kansas City",0,0
"178",2017-04-30,"New England","Seattle",3,0
"179",2017-04-30,"Philadelphia","L.A. Galaxy",0,0
"180",2017-04-30,"DC United","Atlanta United",3,0
"181",2017-05-04,"Toronto","Orlando City",2,1
"182",2017-05-04,"Kansas City","New York",2,1
"183",2017-05-04,"Orlando City","Toronto",1,0
"184",2017-05-04,"New York","Kansas City",0,0
"185",2017-05-06,"Colorado","Vancouver",0,1
"186",2017-05-06,"Seattle","Toronto",0,1
"187",2017-05-06,"DC United","Montreal",0,1
"188",2017-05-06,"Vancouver","Colorado",1,0
"189",2017-05-06,"Toronto","Seattle",1,0
"190",2017-05-06,"Montreal","DC United",1,0
"191",2017-05-07,"Philadelphia","New York",3,1
"192",2017-05-07,"Columbus","New England",2,1
"193",2017-05-07,"Houston","Orlando City",4,1
"194",2017-05-07,"Salt Lake","FC Dallas",0,1
"195",2017-05-07,"L.A. Galaxy","Chicago",2,1
"196",2017-05-07,"San Jose","Portland",3,1
"197",2017-05-07,"Minnesota United","Kansas City",2,1
"198",2017-05-07,"New York City FC","Atlanta United",3,1
"199",2017-05-07,"New York","Philadelphia",0,0
"200",2017-05-07,"New England","Columbus",0,0
"201",2017-05-07,"Orlando City","Houston",0,0
"202",2017-05-07,"FC Dallas","Salt Lake",3,0
"203",2017-05-07,"Chicago","L.A. Galaxy",2,0
"204",2017-05-07,"Portland","San Jose",0,0
"205",2017-05-07,"Kansas City","Minnesota United",0,0
"206",2017-05-07,"Atlanta United","New York City FC",1,0
"207",2017-05-11,"Columbus","Toronto",1,1
"208",2017-05-11,"Toronto","Columbus",2,0
"209",2017-05-13,"Houston","Vancouver",2,1
"210",2017-05-13,"Toronto","Minnesota United",3,1
"211",2017-05-13,"Colorado","San Jose",3,1
"212",2017-05-13,"Montreal","Columbus",2,1
"213",2017-05-13,"Vancouver","Houston",1,0
"214",2017-05-13,"Minnesota United","Toronto",2,0
"215",2017-05-13,"San Jose","Colorado",0,0
"216",2017-05-13,"Columbus","Montreal",3,0
"217",2017-05-14,"DC United","Philadelphia",0,1
"218",2017-05-14,"Orlando City","Kansas City",2,1
"219",2017-05-14,"New England","Salt Lake",4,1
"220",2017-05-14,"Chicago","Seattle",4,1
"221",2017-05-14,"Portland","Atlanta United",1,1
"222",2017-05-14,"New York","L.A. Galaxy",1,1
"223",2017-05-14,"Philadelphia","DC United",4,0
"224",2017-05-14,"Kansas City","Orlando City",2,0
"225",2017-05-14,"Salt Lake","New England",0,0
"226",2017-05-14,"Seattle","Chicago",1,0
"227",2017-05-14,"Atlanta United","Portland",1,0
"228",2017-05-14,"L.A. Galaxy","New York",3,0
"229",2017-05-15,"FC Dallas","New York City FC",1,1
"230",2017-05-15,"New York City FC","FC Dallas",1,0
"231",2017-05-18,"Philadelphia","Houston",2,1
"232",2017-05-18,"Chicago","Colorado",3,1
"233",2017-05-18,"Kansas City","Seattle",3,1
"234",2017-05-18,"Salt Lake","New York City FC",2,1
"235",2017-05-18,"San Jose","Orlando City",1,1
"236",2017-05-18,"Houston","Philadelphia",0,0
"237",2017-05-18,"Colorado","Chicago",0,0
"238",2017-05-18,"Seattle","Kansas City",0,0
"239",2017-05-18,"New York City FC","Salt Lake",1,0
"240",2017-05-18,"Orlando City","San Jose",1,0
"241",2017-05-20,"New York","Toronto",1,1
"242",2017-05-20,"Montreal","Portland",4,1
"243",2017-05-20,"DC United","Chicago",0,1
"244",2017-05-20,"Seattle","Salt Lake",1,1
"245",2017-05-20,"Toronto","New York",1,0
"246",2017-05-20,"Portland","Montreal",1,0
"247",2017-05-20,"Chicago","DC United",1,0
"248",2017-05-20,"Salt Lake","Seattle",0,0
"249",2017-05-21,"Philadelphia","Colorado",2,1
"250",2017-05-21,"Vancouver","Kansas City",2,1
"251",2017-05-21,"Atlanta United","Houston",4,1
"252",2017-05-21,"FC Dallas","San Jose",0,1
"253",2017-05-21,"New England","Columbus",2,1
"254",2017-05-21,"Minnesota United","L.A. Galaxy",1,1
"255",2017-05-21,"Colorado","Philadelphia",1,0
"256",2017-05-21,"Kansas City","Vancouver",0,0
"257",2017-05-21,"Houston","Atlanta United",1,0
"258",2017-05-21,"San Jose","FC Dallas",1,0
"259",2017-05-21,"Columbus","New England",1,0
"260",2017-05-21,"L.A. Galaxy","Minnesota United",2,0
"261",2017-05-22,"Orlando City","New York City FC",0,1
"262",2017-05-22,"New York City FC","Orlando City",3,0
"263",2017-05-26,"Chicago","FC Dallas",2,1
"264",2017-05-26,"FC Dallas","Chicago",1,0
"265",2017-05-27,"Toronto","Columbus",5,1
"266",2017-05-27,"Seattle","Portland",1,1
"267",2017-05-27,"Columbus","Toronto",0,0
"268",2017-05-27,"Portland","Seattle",0,0
"269",2017-05-28,"Vancouver","DC United",0,1
"270",2017-05-28,"New York","New England",2,1
"271",2017-05-28,"Minnesota United","Orlando City",1,1
"272",2017-05-28,"Colorado","Kansas City",1,1
"273",2017-05-28,"Salt Lake","Philadelphia",1,1
"274",2017-05-28,"San Jose","L.A. Galaxy",2,1
"275",2017-05-28,"Atlanta United","New York City FC",3,1
"276",2017-05-28,"DC United","Vancouver",1,0
"277",2017-05-28,"New England","New York",1,0
"278",2017-05-28,"Orlando City","Minnesota United",0,0
"279",2017-05-28,"Kansas City","Colorado",0,0
"280",2017-05-28,"Philadelphia","Salt Lake",0,0
"281",2017-05-28,"L.A. Galaxy","San Jose",4,0
"282",2017-05-28,"New York City FC","Atlanta United",1,0
"283",2017-05-29,"FC Dallas","Houston",0,1
"284",2017-05-29,"Houston","FC Dallas",0,0
"285",2017-06-01,"New York City FC","New England",2,1
"286",2017-06-01,"Columbus","Seattle",3,1
"287",2017-06-01,"Orlando City","DC United",2,1
"288",2017-06-01,"Houston","Salt Lake",5,1
"289",2017-06-01,"New England","New York City FC",2,0
"290",2017-06-01,"Seattle","Columbus",0,0
"291",2017-06-01,"DC United","Orlando City",0,0
"292",2017-06-01,"Salt Lake","Houston",1,0
"293",2017-06-03,"Portland","San Jose",2,1
"294",2017-06-03,"New York City FC","Philadelphia",2,1
"295",2017-06-03,"Kansas City","Minnesota United",3,1
"296",2017-06-03,"Vancouver","Atlanta United",3,1
"297",2017-06-03,"San Jose","Portland",0,0
"298",2017-06-03,"Philadelphia","New York City FC",1,0
"299",2017-06-03,"Minnesota United","Kansas City",0,0
"300",2017-06-03,"Atlanta United","Vancouver",1,0
"301",2017-06-04,"DC United","L.A. Galaxy",0,1
"302",2017-06-04,"New England","Toronto",3,1
"303",2017-06-04,"Montreal","New York",1,1
"304",2017-06-04,"FC Dallas","Salt Lake",6,1
"305",2017-06-04,"Colorado","Columbus",2,1
"306",2017-06-04,"L.A. Galaxy","DC United",0,0
"307",2017-06-04,"Toronto","New England",0,0
"308",2017-06-04,"New York","Montreal",0,0
"309",2017-06-04,"Salt Lake","FC Dallas",2,0
"310",2017-06-04,"Columbus","Colorado",1,0
"311",2017-06-05,"Orlando City","Chicago",0,1
"312",2017-06-05,"Seattle","Houston",1,1
"313",2017-06-05,"Chicago","Orlando City",0,0
"314",2017-06-05,"Houston","Seattle",0,0
"315",2017-06-10,"Chicago","Atlanta United",2,1
